Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,Over2.5,HomeOdd,DrawOdd,AwayOdd,Over2.5Odd,Under2.5Odd,HomeTeamTotalGoals,AwayTeamTotalGoals,AvgGoalsHomeTeam,AvgGoalsAwayTeam,TotalAttemptsHomeTeam,TotalAttemptsAwayTeam,KicksInsideAreaHomeTeam,KicksInsideAreaAwayTeam,KicksOutsideAreaHomeTeam,KicksOutsideAreaAwayTeam,HeadersHomeTeam,HeadersAwayTeam,StealsHomeTeam,StealsAwayTeam,FoulsHomeTeam,FoulsAwayTeam,CornersHomeTeam,CornersAwayTeam,ErrorsHomeTeam,ErrorsAwayTeam
16/10/2016,Panathinaikos,Xanthi,1,2,A,TRUE,"1,3","4,6","10,5","1,91","1,85",10,1,"2,5","0,25",,,,,,,,,,,,,,,,
16/10/2016,PAOK,Iraklis,1,0,H,FALSE,"1,18","6,50","15,00","1,73","2,03",4,4,1,1,,,,,,,,,,,,,,,,
17/10/2016,AEL,AEK,1,2,A,TRUE,"4,60","3,40","1,80","2,25","1,59",4,6,1,"1,5",,,,,,,,,,,,,,,,
22/10/2016,AEK,Panionios,0,0,D,FALSE,"1,57","3,60","6,50","2,21","1,61",8,8,"1,6","1,6",,,,,,,,,,,,,,,,
22/10/2016,Kerkyra,Asteras Tripolis,2,0,H,FALSE,"3,00","3,00","2,50","2,66","1,42",3,4,"0,6","0,8",,,,,,,,,,,,,,,,
22/10/2016,Platanias,Xanthi,0,1,A,FALSE,"1,85","3,20","4,75","2,72","1,41",4,3,"0,8","0,6",,,,,,,,,,,,,,,,
23/10/2016,Giannina,AEL,4,0,H,TRUE,"2,25","3,10","3,40","2,52","1,47",4,5,1,1,,,,,,,,,,,,,,,,
23/10/2016,Iraklis,Atromitos,1,2,A,TRUE,"3,20","3,00","2,38","2,74","1,41",4,2,"0,8","0,4",,,,,,,,,,,,,,,,
23/10/2016,Levadeiakos,Panetolikos,2,1,H,TRUE,"2,40","3,00","3,20","2,5","1,48",5,7,"1,25","1,4",,,,,,,,,,,,,,,,
23/10/2016,Olympiakos,PAOK,2,1,H,TRUE,"1,50","3,80","7,50","2,04","1,71",13,5,"2,6",1,,,,,,,,,,,,,,,,
24/10/2016,Veria,Panathinaikos,1,1,D,FALSE,"12,00","6,00","1,22","1,49","1,45",3,11,"0,6","2,2",,,,,,,,,,,,,,,,
